mStop,xsec_pb,uncertainty_percent,uncertainty_relative,uncertainty_up_relative,uncertainty_down_relative,source_file,parsing_status
1885,4.927e-05,26.45,0.2645,0.2645,0.2645,signal_xsec.txt,parsed
1890,4.803e-05,26.64,0.2664,0.2664,0.2664,signal_xsec.txt,parsed
1895,4.681e-05,26.84,0.26839999999999997,0.26839999999999997,0.26839999999999997,signal_xsec.txt,parsed
1900,4.563e-05,27.04,0.2704,0.2704,0.2704,signal_xsec.txt,parsed
1905,4.448e-05,27.23,0.2723,0.2723,0.2723,signal_xsec.txt,parsed
1910,4.336e-05,27.42,0.2742,0.2742,0.2742,signal_xsec.txt,parsed
1915,4.227e-05,27.61,0.2761,0.2761,0.2761,signal_xsec.txt,parsed
1920,4.12e-05,27.81,0.2781,0.2781,0.2781,signal_xsec.txt,parsed
1925,4.017e-05,28.0,0.28,0.28,0.28,signal_xsec.txt,parsed
1930,3.916e-05,28.2,0.282,0.282,0.282,signal_xsec.txt,parsed
1935,3.818e-05,28.4,0.284,0.284,0.284,signal_xsec.txt,parsed
1940,3.723e-05,28.6,0.28600000000000003,0.28600000000000003,0.28600000000000003,signal_xsec.txt,parsed
1945,3.629e-05,28.8,0.28800000000000003,0.28800000000000003,0.28800000000000003,signal_xsec.txt,parsed
1950,3.539e-05,29.0,0.29,0.29,0.29,signal_xsec.txt,parsed
1955,3.451e-05,29.21,0.2921,0.2921,0.2921,signal_xsec.txt,parsed
1960,3.365e-05,29.41,0.29410000000000003,0.29410000000000003,0.29410000000000003,signal_xsec.txt,parsed
1965,3.281e-05,29.62,0.2962,0.2962,0.2962,signal_xsec.txt,parsed
1970,3.199e-05,29.83,0.2983,0.2983,0.2983,signal_xsec.txt,parsed
1975,3.12e-05,30.04,0.3004,0.3004,0.3004,signal_xsec.txt,parsed
1980,3.042e-05,30.25,0.3025,0.3025,0.3025,signal_xsec.txt,parsed
1985,2.967e-05,30.46,0.3046,0.3046,0.3046,signal_xsec.txt,parsed
1990,2.893e-05,30.68,0.3068,0.3068,0.3068,signal_xsec.txt,parsed
1995,2.822e-05,30.89,0.3089,0.3089,0.3089,signal_xsec.txt,parsed
2000,2.752e-05,31.11,0.3111,0.3111,0.3111,signal_xsec.txt,parsed
2005,2.684e-05,31.34,0.3134,0.3134,0.3134,signal_xsec.txt,parsed
2010,2.618e-05,31.57,0.3157,0.3157,0.3157,signal_xsec.txt,parsed
2015,2.553e-05,31.8,0.318,0.318,0.318,signal_xsec.txt,parsed
2020,2.491e-05,32.03,0.32030000000000003,0.32030000000000003,0.32030000000000003,signal_xsec.txt,parsed
2025,2.429e-05,32.27,0.32270000000000004,0.32270000000000004,0.32270000000000004,signal_xsec.txt,parsed
2030,2.37e-05,32.5,0.325,0.325,0.325,signal_xsec.txt,parsed
2035,2.312e-05,32.74,0.3274,0.3274,0.3274,signal_xsec.txt,parsed
2040,2.255e-05,32.98,0.3298,0.3298,0.3298,signal_xsec.txt,parsed
2045,2.2e-05,33.22,0.3322,0.3322,0.3322,signal_xsec.txt,parsed
2050,2.146e-05,33.47,0.3347,0.3347,0.3347,signal_xsec.txt,parsed
2055,2.093e-05,33.71,0.3371,0.3371,0.3371,signal_xsec.txt,parsed
2060,2.042e-05,33.96,0.3396,0.3396,0.3396,signal_xsec.txt,parsed
2065,1.992e-05,34.21,0.3421,0.3421,0.3421,signal_xsec.txt,parsed
2070,1.944e-05,34.46,0.3446,0.3446,0.3446,signal_xsec.txt,parsed
2075,1.896e-05,34.71,0.3471,0.3471,0.3471,signal_xsec.txt,parsed
2080,1.85e-05,34.96,0.3496,0.3496,0.3496,signal_xsec.txt,parsed
2085,1.805e-05,35.22,0.3522,0.3522,0.3522,signal_xsec.txt,parsed
2090,1.761e-05,35.48,0.35479999999999995,0.35479999999999995,0.35479999999999995,signal_xsec.txt,parsed
2095,1.718e-05,35.74,0.3574,0.3574,0.3574,signal_xsec.txt,parsed
2100,1.677e-05,36.0,0.36,0.36,0.36,signal_xsec.txt,parsed
2105,1.636e-05,36.26,0.3626,0.3626,0.3626,signal_xsec.txt,parsed
2110,1.596e-05,36.52,0.3652,0.3652,0.3652,signal_xsec.txt,parsed
2115,1.557e-05,36.78,0.3678,0.3678,0.3678,signal_xsec.txt,parsed
2120,1.52e-05,37.04,0.3704,0.3704,0.3704,signal_xsec.txt,parsed
2125,1.483e-05,37.3,0.373,0.373,0.373,signal_xsec.txt,parsed
2130,1.447e-05,37.57,0.3757,0.3757,0.3757,signal_xsec.txt,parsed
2135,1.412e-05,37.84,0.3784,0.3784,0.3784,signal_xsec.txt,parsed
2140,1.378e-05,38.11,0.3811,0.3811,0.3811,signal_xsec.txt,parsed
2145,1.345e-05,38.38,0.38380000000000003,0.38380000000000003,0.38380000000000003,signal_xsec.txt,parsed
2150,1.312e-05,38.65,0.3865,0.3865,0.3865,signal_xsec.txt,parsed
2155,1.281e-05,38.93,0.3893,0.3893,0.3893,signal_xsec.txt,parsed
2160,1.25e-05,39.21,0.3921,0.3921,0.3921,signal_xsec.txt,parsed
2165,1.22e-05,39.49,0.39490000000000003,0.39490000000000003,0.39490000000000003,signal_xsec.txt,parsed
